,movie,imdb,metascore,votes,gross,year
449,True Grit,7.6,80,257513,171031347,2010
450,Deja Vu,7.0,59,256067,64034835,2006
451,Monsters University,7.3,65,255658,268488329,2013
452,Babel,7.5,69,255460,34300771,2006
453,Jackie Brown,7.5,64,255054,39647595,1997
454,Total Recall,7.5,57,254960,119412921,1990
455,Night at the Museum,6.4,48,254926,250863268,2006
456,Jumper,6.1,35,254567,80170146,2008
457,Jack Reacher,7.0,50,254559,58676235,2012
458,Raging Bull,8.2,92,253920,45250,1980
459,The Big Short,7.8,81,253849,70235322,2015
460,Serenity,7.9,74,253542,25335935,2005
461,Artificial Intelligence: AI,7.1,65,253128,78616689,2001
462,Interview with the Vampire: The Vampire Chronicles,7.6,59,252914,105264608,1994
463,Taken 2,6.3,45,252673,139852971,2012
464,The Secret Life of Walter Mitty,7.3,54,252482,58229120,2013
465,RED,7.1,60,252468,90356857,2010
466,The Equalizer,7.2,57,252362,101530738,2014
467,Fantastic Beasts and Where to Find Them,7.4,66,252095,234018657,2016
468,Magnolia,8.0,77,252022,22450975,1999
469,Constantine,6.9,50,251301,75500759,2005
470,The Transporter,6.8,51,250981,25296447,2002
471,3:10 to Yuma,7.7,76,250651,53574088,2007
472,Sicario,7.6,82,250353,46875468,2015
473,Apocalypto,7.8,68,250326,50859889,2006
474,Superman Returns,6.1,72,248513,200069408,2006
475,Shichinin no samurai,8.7,98,248334,269061,1954
476,Mononoke-hime,8.4,76,248028,2298191,1997
477,The Bourne Legacy,6.7,61,247898,113165635,2012
478,Seven Pounds,7.7,36,247607,69951824,2008
479,Fifty Shades of Grey,4.1,46,247527,166147885,2015
480,3 Idiots,8.4,67,245388,6523137,2009
481,The Proposal,6.7,48,244851,163947053,2009
482,The Book of Eli,6.9,53,244032,94822707,2010
483,Eyes Wide Shut,7.3,68,242907,55637680,1999
484,The Hangover Part III,5.9,30,242558,112186625,2013
485,Public Enemies,7.0,70,242497,97030725,2009
486,Hacksaw Ridge,8.2,71,242374,67115062,2016
487,Snow White and the Huntsman,6.1,57,241702,155111815,2012
488,10 Things I Hate About You,7.2,70,241393,38176108,1999
489,How to Train Your Dragon 2,7.9,76,240781,176997107,2014
490,300: Rise of an Empire,6.2,48,240596,106369117,2014
491,Clash of the Titans,5.8,39,240255,163192114,2010
492,The Blind Side,7.7,53,240221,255950375,2009
493,"O Brother, Where Art Thou?",7.8,69,240219,45506619,2000
494,Neighbors,6.3,68,239898,150056505,2014
495,Hauru no ugoku shiro,8.2,80,238427,4710455,2004
496,Con Air,6.8,52,237540,101087161,1997
497,Donnie Brasco,7.8,76,237381,41954997,1997
498,Jurassic Park III,5.9,42,236879,181166115,2001
499,The Mist,7.2,58,236347,25592632,2007
500,As Good as It Gets,7.7,67,236170,147637474,1997
501,Scream,7.2,65,236050,103001286,1996
502,Gattaca,7.8,64,235573,12339633,1997
503,Prince of Persia: The Sands of Time,6.6,50,235538,90755643,2010
504,Liar Liar,6.8,70,235420,181395380,1997
505,Moulin Rouge!,7.6,66,235328,57386369,2001
506,From Dusk Till Dawn,7.3,52,234550,25753840,1996
507,Top Gun,6.9,50,234480,176781728,1986
508,Green Lantern,5.6,39,233942,116593191,2011
509,Room,8.2,86,233328,14677654,2015
510,Insomnia,7.2,78,233198,67263182,2002
511,Starship Troopers,7.2,51,233018,54700065,1997
512,Gone with the Wind,8.2,97,232763,198655278,1939
513,The Untouchables,7.9,79,231991,76270454,1987
514,The Twilight Saga: New Moon,4.6,44,230967,296623634,2009
515,Kingdom of Heaven,7.2,63,230711,47396698,2005
516,Pretty Woman,6.9,51,230587,178406268,1990
517,Law Abiding Citizen,7.4,34,230460,73343413,2009
