,movie,imdb,metascore,votes,gross,year
1046,The Imaginarium of Doctor Parnassus,6.8,65,131047,7689458,2009
1047,Next,6.2,42,130938,17993461,2007
1048,The Punisher,6.5,33,130880,33682273,2004
1049,Sleepless in Seattle,6.8,72,130863,126670704,1993
1050,From Hell,6.8,54,130842,31598308,2001
1051,13 Going on 30,6.1,57,130802,56044241,2004
1052,Antz,6.6,72,130527,90646554,1998
1053,The Mechanic,6.6,49,130292,29113588,2011
1054,Man on a Ledge,6.6,40,130130,18600911,2012
1055,The Karate Kid,6.2,61,130125,176591618,2010
1056,Analyze This,6.7,61,129635,106694016,1999
1057,Lilo & Stitch,7.2,73,129313,145771527,2002
1058,Galaxy Quest,7.3,70,129225,71423726,1999
1059,Event Horizon,6.7,35,129219,26616590,1997
1060,Coming to America,7.0,47,129111,128152301,1988
1061,Mr. Brooks,7.3,45,129064,28476219,2007
1062,Madagascar 3: Europe's Most Wanted,6.9,60,128947,216366733,2012
1063,Rush Hour 3,6.2,44,128844,140080850,2007
1064,Underworld Awakening,6.4,39,128629,62321039,2012
1065,The Secret Life of Pets,6.6,61,128570,368305960,2016
1066,The Bone Collector,6.7,45,128374,66488090,1999
1067,The Fly,7.5,79,128097,37585252,1986
1068,Pandorum,6.8,28,127892,10326062,2009
1069,Final Destination 2,6.2,38,127885,46455802,2003
1070,Sausage Party,6.3,66,127772,97661826,2016
1071,I Am Sam,7.6,28,127668,40270895,2001
1072,Horrible Bosses 2,6.3,40,127467,54414716,2014
1073,Rounders,7.4,54,127409,22905674,1998
1074,The Mummy: Tomb of the Dragon Emperor,5.2,31,127104,102176165,2008
1075,Saving Mr. Banks,7.5,65,127091,83299761,2013
1076,The Lobster,7.1,82,126955,8699235,2015
1077,El orfanato,7.5,74,126882,7159147,2007
1078,Scary Movie 2,5.3,29,126695,71277420,2001
1079,Spy Game,7.1,63,126621,26871,2001
1080,The Waterboy,6.1,41,126467,161487252,1998
1081,The Last Airbender,4.2,20,126404,131564731,2010
1082,Buried,7.0,65,126307,1028658,2010
1083,Spider-Man: Homecoming,8.0,73,126309,279991585,2017
1084,Dunkirk,8.5,94,126232,104641608,2017
1085,Assassin's Creed,5.9,36,125598,54645723,2016
1086,I Now Pronounce You Chuck & Larry,6.0,37,125218,119684970,2007
1087,Wall Street,7.4,56,125189,43848100,1987
1088,Smokin' Aces,6.7,45,125158,35635046,2006
1089,Starsky & Hutch,6.1,55,125042,88200225,2004
1090,Brüno,5.8,54,124996,59992760,2009
1091,Hooligans,7.5,55,124844,344095,2005
1092,The Legend of Tarzan,6.3,44,124804,126585313,2016
1093,47 Ronin,6.3,28,124752,38297305,2013
1094,S.W.A.T.,6.0,45,124677,116643346,2003
1095,Hell or High Water,7.7,88,124491,26862450,2016
1096,Marley & Me,7.1,53,124308,143151473,2008
1097,She's the Man,6.4,45,124274,2339735,2006
1098,Sin City: A Dame to Kill For,6.5,46,124249,13750556,2014
1099,Hercules,6.0,47,124131,72660029,2014
1100,Fantastic Four,4.3,27,124042,56114221,2015
1101,The Virgin Suicides,7.2,76,124037,4859475,1999
1102,War Horse,7.2,72,124010,79883359,2011
1103,Memoirs of a Geisha,7.4,54,124003,57010853,2005
1104,Cold Mountain,7.2,73,123577,95632614,2003
1105,The Way Way Back,7.4,68,123083,21501098,2013
1106,The Naked Gun: From the Files of Police Squad!,7.6,76,123079,78041829,1988
1107,Dr. No,7.3,78,123040,16067035,1962
1108,Defiance,7.2,58,122652,28622873,2008
1109,Monsters vs. Aliens,6.5,56,122640,198332128,2009
1110,Space Jam,6.3,59,122626,90443603,1996
1111,Metropolis,8.3,98,122576,26435,1927
1112,Point Break,7.2,58,122371,43218387,1991
1113,Young Frankenstein,8.0,80,122261,86300000,1974
1114,Lion,8.1,69,122160,51694854,2016
1115,Evil Dead II,7.8,69,122074,5923044,1987
1116,The Grudge,5.9,49,122027,110175871,2004
1117,The Time Traveler's Wife,7.1,47,121877,63411478,2009
1118,The Last of the Mohicans,7.8,76,121584,72455275,1992
1119,Wayne's World,7.0,57,121572,121697350,1992
1120,Puss in Boots,6.7,65,121532,149234747,2011
1121,Lars and the Real Girl,7.4,70,121367,5949693,2007
1122,"Dude, Where's My Car?",5.5,30,121182,46729374,2000
1123,In the Name of the Father,8.1,84,121139,25010410,1993
1124,Insidious: Chapter 2,6.6,40,120956,83574831,2013
1125,Me Before You,7.4,51,120633,56228651,2016
1126,Johnny English,6.1,51,120599,27972410,2003
1127,Evan Almighty,5.4,37,120573,100289690,2007
1128,JFK,8.0,72,120563,70405498,1991
1129,Remember Me,7.2,40,120449,19057024,2010
1130,Crank: High Voltage,6.2,41,120374,13630226,2009
1131,Good Bye Lenin!,7.7,68,120261,4063859,2003
1132,Legends of the Fall,7.5,45,120244,66528842,1994
1133,The Lake House,6.8,52,120085,52320979,2006
1134,The Last Stand,6.4,54,119645,12026670,2013
1135,Snakes on a Plane,5.6,58,119616,34014398,2006
1136,Cinderella,7.0,67,119574,201148159,2015
1137,The Running Man,6.6,45,119319,38122105,1987
1138,Chasing Amy,7.3,71,119047,12006514,1997
1139,Conan the Barbarian,6.9,43,118828,37567440,1982
1140,The Fate of the Furious,6.9,56,118843,225697400,2017
1141,Steve Jobs,7.2,82,118802,17750583,2015
1142,Clerks II,7.4,65,118795,24138847,2006
1143,Bridge to Terabithia,7.2,74,118681,82234139,2007
1144,Harold & Kumar Escape from Guantanamo Bay,6.6,57,118463,38087366,2008
1145,State of Play,7.1,64,118150,36965395,2009
1146,The Recruit,6.6,56,118095,52784696,2003
1147,We Bought a Zoo,7.1,58,118013,75621915,2011
1148,The Drop,7.1,69,118001,10720322,2014
1149,Saw IV,5.9,36,117895,63270259,2007
1150,The Spectacular Now,7.1,82,117892,6851969,2013
1151,Gamer,5.8,27,117879,20488579,2009
1152,Scary Movie 3,5.5,49,117750,110000082,2003
1153,Never Let Me Go,7.2,69,117695,2412045,2010
1154,Bad Santa,7.1,70,117620,60057639,2003
1155,Winter's Bone,7.2,90,117503,6531491,2010
1156,Punch-Drunk Love,7.3,78,117496,17791031,2002
1157,Ray,7.7,73,117266,75305995,2004
1158,Killing Them Softly,6.2,64,117045,14938570,2012
1159,Mr. Deeds,5.8,24,117024,126203320,2002
1160,Idiocracy,6.6,66,116932,438653,2006
1161,The Constant Gardener,7.5,82,116883,33565375,2005
1162,Payback,7.1,46,116785,81517441,1999
1163,An Education,7.3,85,116505,12574715,2009
1164,War Dogs,7.1,57,116468,43017433,2016
1165,9,7.1,60,116418,31743332,2009
1166,Fun with Dick and Jane,6.1,47,116278,110332737,2005
1167,16 Blocks,6.6,63,116264,36883539,2006
1168,Grown Ups 2,5.4,19,116038,133668525,2013
1169,Four Brothers,6.9,49,115949,74484168,2005
1170,Foxcatcher,7.0,81,115949,12096300,2014
1171,Unbroken,7.2,59,115935,115603980,2014
1172,Resident Evil: Retribution,5.4,39,115758,42345531,2012
1173,The Wedding Singer,6.8,59,115729,80224502,1998
1174,Tower Heist,6.2,59,115591,78009155,2011
1175,"Honey, I Shrunk the Kids",6.3,63,115549,130724200,1989
1176,The Age of Adaline,7.2,51,115450,42478175,2015
1177,Spring Breakers,5.3,63,115416,14123773,2012
1178,Green Zone,6.8,63,115408,35024475,2010
1179,One Day,7.0,48,115108,13766014,2011
1180,National Lampoon's Christmas Vacation,7.6,49,115043,71320000,1989
1181,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,53,115010,104383624,2010
1182,The Kids Are All Right,7.1,86,114907,20803237,2010
1183,It's Kind of a Funny Story,7.1,63,114840,6350058,2010
1184,Magic Mike,6.1,72,114804,113709992,2012
1185,Enemy,6.9,61,114776,1007088,2013
1186,Captain Fantastic,7.9,72,114766,5875006,2016
1187,The Master,7.1,86,114582,16377274,2012
1188,Carrie,5.9,53,114459,35266619,2013
1189,Dogville,8.0,60,114453,1530386,2003
1190,Poltergeist,7.4,79,114343,76600000,1982
1191,Cars 2,6.2,57,114322,191450875,2011
1192,Dear John,6.3,43,114311,80014842,2010
1193,Four Weddings and a Funeral,7.1,81,114284,52700832,1994
1194,Kindergarten Cop,6.1,61,114234,91457688,1990
1195,Relatos salvajes,8.1,77,114217,3079012,2014
1196,Bee Movie,6.1,54,114180,126597121,2007
1197,Syriana,7.0,76,114100,50815288,2005
1198,The Danish Girl,7.1,66,114017,12706393,2015
1199,Begin Again,7.4,62,114009,16168741,2013
1200,Shallow Hal,5.9,48,113947,70836296,2001
1201,Æon Flux,5.5,36,113886,25857987,2005
1202,The Men Who Stare at Goats,6.2,54,113881,32416109,2009
1203,The Texas Chainsaw Massacre,6.2,38,113872,80148261,2003
1204,Let's Be Cops,6.5,30,113869,82389560,2014
1205,"10,000 BC",5.1,34,113511,94770548,2008
1206,The Mortal Instruments: City of Bones,5.9,33,113489,31165421,2013
1207,Last Action Hero,6.3,44,113282,50016394,1993
1208,Last Vegas,6.6,48,113279,63910583,2013
1209,A Fish Called Wanda,7.6,80,113247,63493712,1988
1210,The Negotiator,7.3,62,112882,44484065,1998
1211,Monster,7.3,74,112819,34468224,2003
1212,Jack the Giant Slayer,6.3,51,112782,65171860,2013
1213,Legend,7.0,55,112572,1865774,2015
1214,Reign of Fire,6.2,39,112566,43060566,2002
1215,Horton Hears a Who!,6.8,71,112277,154529187,2008
1216,The Other Woman,6.0,39,112014,83906114,2014
1217,Manhattan,8.0,83,111827,45700000,1979
1218,I Know What You Did Last Summer,5.6,52,111774,72219395,1997
1219,Eragon,5.1,38,111667,75030163,2006
1220,Max Payne,5.4,31,111554,40687294,2008
1221,About Schmidt,7.2,85,111412,65010106,2002
1222,Into the Woods,6.0,69,111399,127997349,2014
1223,The Campaign,6.2,50,111395,86897182,2012
1224,Billy Madison,6.4,16,111392,25588750,1995
1225,Devil,6.3,44,111296,33583175,2010
1226,The Rocky Horror Picture Show,7.4,58,111170,139876417,1975
1227,Along Came Polly,5.9,44,111125,87856565,2004
1228,This Is Spinal Tap,8.0,85,111103,4671831,1984
1229,Matchstick Men,7.3,61,111046,36873198,2003
1230,The Count of Monte Cristo,7.7,61,110809,54228104,2002
1231,Killer Elite,6.5,44,110659,25093607,2011
1232,Pitch Perfect 2,6.5,63,110642,183436380,2015
1233,Hidden Figures,7.8,74,110638,169374490,2016
1234,La piel que habito,7.6,70,110554,3185193,2011
1235,The Girl on the Train,6.5,48,110536,75311445,2016
1236,Robots,6.3,64,110460,128200012,2005
1237,Miss Peregrine's Home for Peculiar Children,6.7,57,110465,87240689,2016
1238,We Were Soldiers,7.2,65,110446,78120196,2002
1239,On the Waterfront,8.2,88,110218,9600000,1954
1240,Alien: Covenant,6.7,65,110448,74154523,2017
1241,Trading Places,7.5,66,110152,90400000,1983
1242,Accepted,6.5,47,110077,36300285,2006
1243,Daybreakers,6.5,57,109826,29975979,2009
1244,The Scorpion King,5.5,45,109660,90341670,2002
1245,Scream 4,6.2,52,109486,38176892,2011
1246,Miller's Crossing,7.8,66,109482,5080409,1990
1247,Final Destination 3,5.8,41,109403,54098051,2006
1248,A Serious Man,7.0,79,109243,9190525,2009
1249,Lara Croft Tomb Raider: The Cradle of Life,5.5,43,109117,65653758,2003
1250,The Monuments Men,6.1,52,109048,78031620,2014
1251,This Is 40,6.2,59,109014,67523385,2012
1252,The Watch,5.7,36,108908,34350553,2012
1253,8MM,6.5,19,108710,36283504,1999
1254,Savages,6.5,59,108685,47307550,2012
1255,Thelma & Louise,7.4,88,108636,45361000,1991
1256,Trainwreck,6.3,75,108396,110008260,2015
1257,The Purge: Anarchy,6.5,50,108358,71519230,2014
1258,Mad Max Beyond Thunderdome,6.3,80,108265,36200000,1985
1259,J. Edgar,6.6,59,108107,37304950,2011
1260,Pleasantville,7.5,71,107836,40568025,1998
1261,The Book Thief,7.6,53,107798,21483154,2013
1262,Inside Llewyn Davis,7.4,92,107583,13214255,2013
1263,Hall Pass,5.9,45,107538,45045037,2011
1264,The Time Machine,5.9,42,107534,56684819,2002
1265,The Break-Up,5.8,45,107501,118683135,2006
1266,The Hours,7.6,81,107476,41597830,2002
1267,A Time to Kill,7.4,54,107378,108706165,1996
1268,My Big Fat Greek Wedding,6.6,62,107366,241437427,2002
1269,Capote,7.4,88,107084,28747570,2005
1270,We Need to Talk About Kevin,7.5,68,106946,1738692,2011
1271,Australia,6.6,53,106943,49551662,2008
1272,Hollow Man,5.7,24,106922,73209340,2000
1273,The VVitch: A New-England Folktale,6.8,83,106730,25138292,2015
1274,Raising Arizona,7.4,57,106716,22847564,1987
1275,She's Out of My League,6.4,46,106622,31584722,2010
1276,Before Midnight,7.9,94,106414,8114507,2013
1277,The Score,6.8,71,106256,71069884,2001
1278,White Chicks,5.5,41,106208,69148997,2004
1279,Evolution,6.1,40,106132,6927,2001
1280,Lost Highway,7.6,52,106008,3796699,1997
1281,Safety Not Guaranteed,7.0,72,105857,4007792,2012
1282,Inferno,6.2,42,105838,34257924,2016
1283,Kung fu,7.8,78,105807,17104669,2004
1284,The Kingdom,7.1,56,105776,47456450,2007
1285,Dumb and Dumber To,5.7,36,105718,86208010,2014
1286,Contraband,6.5,51,105637,66489425,2012
1287,Flags of Our Fathers,7.1,79,105607,33574332,2006
1288,John Q,7.1,30,105384,71026631,2002
1289,La vie d'Adèle,7.8,88,105263,2199675,2013
1290,Kramer vs. Kramer,7.8,77,105231,106300000,1979
1291,My Best Friend's Wedding,6.3,50,105228,126805112,1997
1292,Charlie's Angels: Full Throttle,4.8,48,105180,100685880,2003
1293,A Bronx Tale,7.8,80,105083,17266971,1993
1294,The Texas Chain Saw Massacre,7.5,75,105077,30859000,1974
1295,Doubt,7.5,68,105029,33422556,2008
1296,Man on the Moon,7.4,58,104926,34580635,1999
1297,The 13th Warrior,6.6,42,104856,32694788,1999
1298,Jack Ryan: Shadow Recruit,6.2,57,104681,50549107,2014
1299,Deep Blue Sea,5.8,54,104510,73648142,1999
1300,The Curse of the Were-Rabbit,7.5,87,104450,56068547,2005
1301,Blazing Saddles,7.8,73,104341,119500000,1974
1302,Scream 3,5.5,56,104290,89138076,2000
1303,The 6th Day,5.9,49,104129,34543701,2000
1304,Pixels,5.6,27,104107,78747585,2015
1305,Identity Thief,5.7,35,104056,134455175,2013
1306,Highlander,7.2,24,103980,5900000,1986
1307,Hairspray,6.7,81,103914,118823091,2007
1308,London Has Fallen,5.9,28,103912,62401264,2016
1309,Freaky Friday,6.1,70,103862,110222438,2003
1310,Funny People,6.3,60,103850,51814190,2009
1311,Ransom,6.6,60,103740,136448821,1996
1312,Wild Hogs,5.9,27,103701,168213584,2007
1313,Billy Elliot,7.7,74,103598,21994911,2000
1314,This Is England,7.7,86,103373,327919,2006
1315,Sex and the City,5.5,53,103296,152637269,2008
1316,The Addams Family,6.8,57,103099,113502246,1991
1317,The Brothers Grimm,5.9,51,103083,37899638,2005
1318,Life,6.7,54,103043,30180466,2017
1319,Mallrats,7.2,41,102973,2122561,1995
1320,The Bounty Hunter,5.5,22,102971,67061228,2010
1321,Central Intelligence,6.3,52,102851,127380061,2016
1322,Locke,7.1,81,102819,1361423,2013
1323,Seven Years in Tibet,7.0,55,102650,37901509,1997
1324,Life as We Know It,6.6,39,102622,53358964,2010
1325,Shanghai Noon,6.6,77,102604,56932305,2000
1326,What Lies Beneath,6.6,51,102523,155370362,2000
1327,The Princess Diaries,6.3,52,102453,108244774,2001
1328,The Exorcism of Emily Rose,6.7,46,102442,75072454,2005
1329,Star Trek: First Contact,7.6,71,102378,92001027,1996
1330,Stuart Little,5.9,61,102299,140015224,1999
1331,Labyrinth,7.4,50,101999,12729917,1986
1332,Cliffhanger,6.4,60,101900,84049211,1993
1333,One Hour Photo,6.8,64,101805,31597131,2002
1334,From Paris with Love,6.5,42,101629,23324666,2010
1335,The Phantom of the Opera,7.3,40,101600,51225796,2004
1336,Priest,5.7,41,101464,29136626,2011
1337,The Thing,6.2,49,101428,16907450,2011
1338,Rocky V,5.2,55,101160,40950000,1990
1339,Any Given Sunday,6.8,52,101128,75530832,1999
1340,Boyz n the Hood,7.8,76,101046,57504069,1991
1341,Ghost World,7.4,88,100915,6200756,2001
1342,Pay It Forward,7.2,40,100869,33508922,2000
1343,Big Trouble in Little China,7.3,53,100543,11100000,1986
1344,The Gift,7.1,77,100509,43771291,2015
1345,Crimson Peak,6.5,66,100143,31056945,2015
1346,Joy,6.6,56,100063,56443482,2015
1347,Valentine's Day,5.7,34,99980,110476776,2010
1348,Awakenings,7.8,74,99898,52096475,1990
1349,Still Alice,7.5,72,99841,18656400,2014
1350,Babe,6.8,83,99713,66600000,1995
1351,Premium Rush,6.5,66,99626,20275446,2012
1352,Water for Elephants,6.9,52,99477,58700247,2011
1353,Coach Carter,7.3,57,99463,67253092,2005
1354,House of Wax,5.3,41,99349,32048809,2005
1355,Escape from New York,7.2,76,99249,25244700,1981
1356,City of Angels,6.7,54,99238,78745923,1998
1357,The Lost Boys,7.3,63,99163,32222567,1987
1358,AVPR: Aliens vs Predator - Requiem,4.7,29,99152,41797066,2007
1359,Mou gaan dou,8.1,75,99073,89594,2002
1360,The Invention of Lying,6.4,58,98847,18439082,2009
1361,Tears of the Sun,6.6,48,98743,43426961,2003
1362,Margin Call,7.1,76,98717,5354039,2011
1363,Scary Movie 4,5.1,40,98593,90703745,2006
1364,Rambo III,5.7,36,98571,53715611,1988
1365,Leaving Las Vegas,7.6,82,98529,31968347,1995
1366,Deepwater Horizon,7.2,68,98331,61284947,2016
1367,Trance,7.0,61,98270,2319187,2013
1368,Let Me In,7.2,79,98245,12134420,2010
1369,Red Eye,6.5,71,98213,57859105,2005
1370,R.I.P.D.,5.6,25,98070,33592415,2013
1371,Street Kings,6.8,55,97976,26415649,2008
1372,"Planes, Trains & Automobiles",7.6,72,97919,49230280,1987
1373,Once,7.9,88,97788,9437933,2007
1374,The Host,5.9,35,97767,26616999,2013
1375,The Strangers,6.2,47,97679,52534295,2008
1376,The Crazies,6.5,55,97481,39103378,2010
1377,Jennifer's Body,5.1,47,97425,16204793,2009
1378,The Prince of Egypt,7.0,64,97371,101217900,1998
1379,The Jacket,7.1,44,97347,6301131,2005
1380,Tremors,7.1,65,97217,16667084,1990
1381,Brooklyn,7.5,87,97180,38317535,2015
1382,Wild,7.1,76,97113,37877959,2014
1383,Get Hard,6.0,34,97090,90353764,2015
1384,Rat Race,6.4,52,97050,56607223,2001
1385,Nebraska,7.7,86,97018,17613460,2013
1386,Hostage,6.6,44,97001,34636443,2005
1387,Robin Hood: Men in Tights,6.7,44,96988,35699287,1993
1388,Step Up,6.5,48,96889,65269010,2006
1389,Miami Vice,6.0,65,96809,63437595,2006
1390,Parker,6.2,42,96808,17609982,2013
1391,Y tu mamá también,7.7,88,96808,13622333,2001
1392,The Princess and the Frog,7.1,73,96759,104374107,2009
1393,The Bodyguard,6.2,39,96608,121945720,1992
1394,Under the Skin,6.3,78,96559,2605039,2013
1395,Star Trek: The Wrath of Khan,7.7,71,96501,78900000,1982
1396,Shi mian mai fu,7.6,89,96299,11041228,2004
1397,The Faculty,6.4,61,96245,40064955,1998
1398,Ghost in the Shell,6.5,52,96046,40533014,2017
1399,Across the Universe,7.4,56,95909,24343673,2007
1400,Something's Gotta Give,6.7,66,95843,124590960,2003
1401,Red Riding Hood,5.4,29,95785,37652565,2011
1402,Bronson,7.1,71,95772,104792,2008
1403,Little Children,7.6,75,95727,5459824,2006
1404,Empire of the Sun,7.8,62,95546,22238696,1987
1405,Animal House,7.6,82,95510,141600000,1978
1406,Incendies,8.2,80,95357,6857096,2010
1407,From Russia with Love,7.5,85,95303,24800000,1963
1408,Mr. Bean's Holiday,6.3,56,95234,32553210,2007
1409,Antichrist,6.6,49,95226,397070,2009
1410,The Parent Trap,6.5,64,95205,66304095,1998
1411,Blended,6.5,31,95202,46280507,2014
1412,The Boat That Rocked,7.4,58,95194,7994115,2009
1413,The Giver,6.5,47,95037,45089048,2014
1414,Barton Fink,7.7,69,94989,6153939,1991
1415,A Walk Among the Tombstones,6.5,57,94901,25977365,2014
1416,Johnny English Reborn,6.3,46,94901,8129455,2011
1417,Outbreak,6.6,65,94868,67823573,1995
1418,Push,6.1,36,94828,31806100,2009
1419,Coyote Ugly,5.6,27,94780,60786269,2000
1420,The Walk,7.3,70,94708,10137502,2015
1421,Wild Things,6.5,52,94659,29753944,1998
1422,The Firm,6.8,58,94548,158348400,1993
1423,Saw V,5.8,20,94543,56729973,2008
1424,The Call,6.7,51,94487,51872378,2013
1425,The Whole Nine Yards,6.7,47,94476,57262492,2000
1426,Me and Earl and the Dying Girl,7.8,74,94421,6743776,2015
1427,Death at a Funeral,7.4,67,94377,8579684,2007
1428,Oculus,6.5,61,94236,27689474,2013
1429,Men of Honor,7.2,56,94226,48814909,2000
1430,The Family,6.3,42,94202,36917730,2013
1431,Freddy vs. Jason,5.8,37,94133,82163317,2003
1432,The Butler,7.2,66,94122,116631310,2013
1433,Seeking a Friend for the End of the World,6.7,59,94114,6619173,2012
1434,Irréversible,7.4,51,94050,753501,2002
1435,Brothers,7.1,58,94014,28501651,2009
1436,The Fall,7.9,64,93986,2280348,2006
1437,Police Academy,6.7,41,93971,81200000,1984
1438,If I Stay,6.8,46,93956,50461335,2014
1439,Bicentennial Man,6.8,42,93869,58220776,1999
1440,A Scanner Darkly,7.1,73,93787,5480996,2006
1441,Bend It Like Beckham,6.7,66,93781,32541719,2002
1442,The Life of David Gale,7.6,31,93684,19593740,2003
1443,Ghost Rider: Spirit of Vengeance,4.3,33,93622,51774002,2011
1444,Gothika,5.8,38,93612,59588068,2003
1445,The Way Back,7.3,66,93505,2677401,2010
1446,Annabelle,5.4,37,93494,84263837,2014
1447,End of Days,5.7,33,93480,66862068,1999
1448,Le scaphandre et le papillon,8.0,92,93473,5990075,2007
1449,Anastasia,7.1,59,93405,58297830,1997
1450,Charlie Wilson's War,7.1,69,93392,66636385,2007
1451,Gake no ue no Ponyo,7.7,86,93376,15081783,2008
1452,Twins,6.0,53,93351,111936400,1988
1453,Paycheck,6.3,43,93122,53789313,2003
1454,Jeepers Creepers,6.1,49,93114,37470017,2001
1455,The Three Musketeers,5.8,35,93091,20315324,2011
1456,Epic Movie,2.3,17,92940,39737645,2007
1457,Percy Jackson: Sea of Monsters,5.9,39,92899,68558662,2013
1458,The Raid 2: Berandal,8.0,71,92891,2625803,2014
1459,Entrapment,6.3,54,92859,87704396,1999
1460,Kung Fu Panda 3,7.2,66,92853,143523463,2016
1461,The Skeleton Key,6.5,47,92821,47806295,2005
1462,In the Heart of the Sea,6.9,47,92809,24985612,2015
1463,Journey to the Center of the Earth,5.8,57,92798,101702060,2008
1464,Van Wilder,6.4,26,92711,21005329,2002
1465,The Wolfman,5.8,43,92705,61937495,2010
1466,Halloween,6.1,47,92683,58267261,2007
1467,Wrong Turn,6.1,32,92640,15417771,2003
1468,Catwoman,3.3,27,92491,40198710,2004
1469,Precious,7.3,79,92470,47536959,2009
1470,Nymphomaniac: Vol. I,7.0,64,92254,785669,2013
1471,Meet the Spartans,2.7,9,92245,38232624,2008
1472,August Rush,7.5,38,92142,31655091,2007
1473,The Jackal,6.4,36,92118,54910560,1997
1474,"Hail, Caesar!",6.3,72,92024,29997095,2016
1475,The Nutty Professor,5.6,62,91943,128769345,1996
1476,Doom,5.2,34,91910,28031250,2005
1477,Frost/Nixon,7.7,80,91732,18593156,2008
1478,The Forbidden Kingdom,6.6,57,91703,25040293,2008
1479,A Single Man,7.6,77,91453,9166863,2009
1480,Flushed Away,6.6,74,91316,64459316,2006
1481,Pompeii,5.5,39,91274,23219748,2014
1482,Where the Wild Things Are,6.8,71,91239,77222184,2009
1483,The Mexican,6.1,43,91223,66808615,2001
1484,Two Weeks Notice,6.1,42,91074,93307796,2002
1485,Repo Men,6.3,32,91062,13763130,2010
1486,Field of Dreams,7.5,57,91054,64431625,1989
1487,Pirates of the Caribbean: Dead Men Tell No Tales,7.0,39,91053,171001410,2017
1488,Sex Tape,5.1,36,90983,38543473,2014
1489,Alpha Dog,6.9,53,90981,15229325,2006
1490,Only God Forgives,5.7,37,90932,778565,2013
1491,Hannibal Rising,6.2,35,90930,27667947,2007
1492,Hable con ella,8.0,86,90865,9284265,2002
1493,Mirrors,6.2,35,90851,30691439,2008
1494,Serendipity,6.9,52,90835,49968653,2001
1495,Little Fockers,5.5,27,90829,148383780,2010
1496,The Manchurian Candidate,6.6,76,90797,65948711,2004
1497,Running Scared,7.4,41,90728,6855137,2006
1498,Friday the 13th,6.5,19,90646,37465200,1980
1499,The Queen,7.3,91,90583,56437947,2006
1500,The Sum of All Fears,6.4,45,90383,118471320,2002
1501,The Amityville Horror,6.0,33,90302,64255243,2005
1502,Behind Enemy Lines,6.4,49,90240,59068786,2001
1503,Beverly Hills Cop II,6.5,48,90208,153665036,1987
1504,Tenacious D in The Pick of Destiny,6.8,55,90197,8319186,2006
1505,The Family Man,6.7,42,90115,75764085,2000
1506,The Rum Diary,6.2,56,90107,13100042,2011
1507,The Man Who Wasn't There,7.6,73,90087,7494849,2001
1508,Epic,6.7,52,89997,107515297,2013
1509,Bill & Ted's Excellent Adventure,6.9,44,89997,40485039,1989
1510,The X Files,7.0,60,89976,83892374,1998
1511,Stoker,6.8,58,89950,1702277,2013
1512,Spy Kids,5.4,71,89923,112692062,2001
1513,Out of the Furnace,6.8,63,89852,11326836,2013
1514,The Good Shepherd,6.7,61,89773,59901040,2006
1515,Homefront,6.5,40,89536,19783777,2013
1516,Dan in Real Life,6.8,65,89410,47636541,2007
1517,Eraser,6.1,56,89222,101228120,1996
1518,Safe,6.5,55,89068,17120019,2012
1519,The Other Boleyn Girl,6.7,50,89017,26814957,2008
1520,Unleashed,7.0,58,88991,24520892,2005
1521,Final Destination 5,5.9,50,88926,42575718,2011
1522,Fright Night,6.4,64,88803,18298649,2011
1523,The Interpreter,6.4,62,88790,72515360,2005
1524,Rescue Dawn,7.3,77,88776,5484375,2006
1525,Brick,7.4,72,88719,2060589,2005
1526,Paul Blart: Mall Cop,5.2,39,88597,20819129,2009
1527,Your Highness,5.6,31,88523,21557240,2011
1528,The Dreamers,7.2,62,88435,2531462,2003
1529,I Origins,7.3,57,88318,334658,2014
1530,Sweet Home Alabama,6.2,45,88241,127214072,2002
1531,The Ladykillers,6.2,56,88055,39692139,2004
1532,The Iron Lady,6.4,54,88020,29959436,2011
1533,What Dreams May Come,7.0,44,88007,55350897,1998
1534,Wall Street: Money Never Sleeps,6.2,59,87860,52474616,2010
1535,My Cousin Vinny,7.5,68,87819,52929168,1992
1536,What We Do in the Shadows,7.6,76,87727,3333000,2014
1537,Just Friends,6.2,47,87452,32596916,2005
1538,Caddyshack,7.3,47,87188,39800000,1980
1539,Couples Retreat,5.5,23,87137,109176215,2009
1540,Snowden,7.3,58,87119,21480133,2016
1541,Frequency,7.4,67,87068,44983704,2000
1542,United 93,7.6,90,87023,31471430,2006
1543,Thunderball,7.0,64,86837,63600000,1965
1544,Extremely Loud & Incredibly Close,6.9,46,86773,31836745,2011
1545,Attack the Block,6.6,75,86761,1024175,2011
1546,Allied,7.1,60,86768,40069087,2016
1547,Diarios de motocicleta,7.8,75,86744,16756372,2004
1548,Just Like Heaven,6.7,47,86695,48291624,2005
1549,The Rundown,6.7,59,86625,47592825,2003
1550,Shanghai Knights,6.2,58,86624,60470220,2003
1551,Sphere,6.0,35,86612,36976367,1998
1552,Reign Over Me,7.5,61,86527,19661987,2007
1553,"Good Night, and Good Luck.",7.5,80,86507,31501218,2005
1554,Paranormal Activity 2,5.7,53,86435,84749884,2010
1555,Mortal Kombat,5.8,58,86287,70360285,1995
1556,The Full Monty,7.2,75,86253,45857453,1997
1557,Safe Haven,6.7,34,86137,71346930,2013
1558,Tropa de Elite,8.1,33,86126,8060,2007
