"country_name","country_code","x1990","x1991","x1992","x1993","x1994","x1995","x1996","x1997","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013","x2014"
"Hungary","HUN",44.4890644326378,44.8276538083245,45.2767642815436,45.1704775623816,44.7115242938016,43.3967682265755,43.5257434084303,43.510774987048,44.5244271264003,44.6412020956054,44.721681343187,44.6896463209223,45.0345526892469,45.2888984730453,45.3912921582445,45.5805975752355,45.4266849562726,45.2794310570693,45.322920489379,45.4119606236193,45.9976972407488,45.8260226347761,45.830815090782,45.8251626707236,45.8191820438754
"Iceland","ISL",45.331711647479,45.2976816796991,45.7040452650867,46.4787879603342,46.775043526406,46.5409990574929,46.6288007975444,46.4226560767897,46.6272803177896,46.7288164834623,46.7256935863977,46.8702172339744,46.7672963435248,47.0895829657079,46.6336557426569,46.8318549610889,46.5131126338094,46.5596661584143,46.5885250146648,46.9903048057474,47.1471343256499,47.2340425531915,47.6874189640147,47.7237337710161,47.6277040538084
"India","IND",27.5867735389051,27.7522965009179,28.0011380898794,28.1731965398075,28.3921473298994,28.3057589697729,28.1723680073278,28.0822452820147,27.9899563551437,27.8973642538132,27.804921184935,28.1136453174548,28.4684741372827,28.8206010975328,29.1672657724517,29.4586657795909,28.5388051373787,27.6641951593147,26.8391282842297,25.9366734791692,25.0485319101297,24.6131477341457,24.1248148247647,24.1709806325171,24.1718469494304
"Indonesia","IDN",38.486820624751,37.9209542749999,37.427180367938,37.9242772883141,38.5631194583046,38.2727792843713,38.0861347060662,37.549957861339,38.2605898160043,37.8116203483793,37.5271794860586,37.3222385203326,37.0427240090718,37.0649902657943,37.0833249410386,37.0424935989173,37.3102117829655,37.5772523635384,37.8468068099581,37.7169356465997,37.7637591947057,37.8304066186668,37.8309742744987,37.9656033339979,37.9707107574531
"Iran, Islamic Rep.","IRN",10.4342052940845,10.6818315993746,10.9219844732091,11.169833745311,11.5354707029366,11.7945043935706,12.195145508976,13.0581014242152,13.9085870116456,14.7104841256144,15.5693012597809,16.4575090265866,17.2413222325195,18.1062967572646,19.0594841821061,19.9610153837231,19.5278039728499,19.0420871850139,17.564401397914,17.7936897730107,18.0090422166274,18.1033493381427,18.226130155808,18.338652115255,18.3351551921502
"Iraq","IRQ",13.2954227317296,13.5437191625016,13.790944477441,13.8800768436208,14.1250184635042,14.3345680314027,14.5742425378419,14.8149026156402,14.8966449060704,15.1346939934674,15.3703907619379,15.6037569032546,15.8344229253783,16.0643050718003,16.4175737022374,16.4509104746328,16.6495865075272,16.8102801369841,16.9323995430388,17.1326395105867,17.2882954186359,17.3584433482965,17.4263283098497,17.6109531050515,17.6769138285615
"Ireland","IRL",34.1697717702399,34.6625869546235,35.4380842187483,36.5603251322491,37.06449319436,37.5896955708099,38.3542622116656,38.8914653340906,39.4980050584268,40.1982354965473,40.5802315192766,40.7314178783418,41.3307546765941,41.5531968910201,41.4931505240088,42.0599674109101,42.3378785439568,42.921877255282,43.2235606894267,43.7026508790737,44.1029609867715,44.3119232860199,44.2893510766321,44.3940039728739,44.4552959234949
"Israel","ISR",40.4151775759512,40.9366790419148,41.7844686037006,41.9699000419476,42.8500777822772,43.3771369803335,43.739135484085,44.2121640850254,44.6297243674738,45.2756556508721,45.7988681776126,45.8921288512845,46.0469381288589,46.5339522302742,46.4795249422354,46.5874201093504,46.6072961229911,46.563766303255,46.5672626355339,47.1139618861431,47.1145421087422,46.9985894686504,46.7378011545891,46.7521690806042,46.840346389317
"Italy","ITA",36.2891975536649,36.6341294082948,36.2874143468584,36.0569455643721,36.5210104197086,36.8405357582143,37.2118415619776,37.4418366131139,37.7300880944336,38.2573833484275,38.5777731589032,38.9391758680387,39.045147058656,39.225896779406,39.7976593311832,39.8705108973703,40.0844705428956,40.1558898385007,40.6686922153822,40.6543033291791,40.917728072089,41.1100895227577,41.7238835205742,41.8370297105182,41.8422357133367
"Jamaica","JAM",46.1103508546997,46.3974959745675,46.6542964120314,46.8201757148652,47.1029515999432,46.5612429739737,45.9942923542334,45.3220594220254,44.4924709186765,44.2493277574525,44.1083621679136,43.9878509179929,43.9597791153607,43.8417557559805,44.0200692567959,44.2152540284445,44.3274177223745,44.4991637315908,44.6483794435403,44.5194743325044,44.6380868495035,44.6313179571795,44.9277490232535,44.894363878497,44.8666762110305
