price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$44,900",2,1,829,,161 E Olive St,Westville,NJ,08093,RE/MAX Connection Realtors - Mantua
"$104,895",3,2,"1,576",3,17 Oak Ave,Westville,NJ,08093,Carrington Real Estate Services Llc
"$170,000",3,1+,"1,725",2,1310 McKinley Ave,West Deptford,NJ,08096,Keller Williams Hometown Realty - Swedesboro
"$145,000",3,2,"1,279",,132 Lionheart Ln,Thorofare,NJ,08086,"Weichert, Realtors - Washington Township"
"$149,999",3,1+,"1,100",,416 Griscom Dr,Woodbury,NJ,08096,Keller Williams Realty - Cherry Hill
"$69,900",3,1+,"1,456",,1731 Overbrook Ave,Paulsboro,NJ,08066,George Broker/Owner
"$159,900",3,2,"1,569",,22 Hillside Ave,Westville,NJ,08093,KingsGate Realty
"$289,900",3,2+,"1,880",3,1721 2nd St,West Deptford,NJ,08086,Re/Max Preferred
"$332,490",4,2+,"2,539",2,005 Hawkins Ln,Wenonah,NJ,08096,Ryan Homes - Nj
"$149,900",3,1,"1,200",,629 Washington Ave,Woodbury,NJ,08096,Mullica Hill North
"$174,900",3,2+,"1,990",1,195 Chancellor Dr,Deptford Township,NJ,08096,Keller Williams Realty - Washington Township
"$139,900",2,2,"1,401",,671 N Broad St,Woodbury,NJ,08096,Keller Williams Realty -
"$139,900",3,1,"1,116",,5 Willow Dr,Westville,NJ,08093,Mullica Hill North
"$165,000",3,2,"1,552",,810 Columbia Blvd,National Park,NJ,08063,KingsGate Realty LLC
"$229,900",3,2+,"1,980",yes,617 Sweetgum Ln,Deptford Township,NJ,08096,Joe Wiessner Realty
"$164,900",4,2,"2,212",3,3 Shivers Ave,West Deptford,NJ,08096,RE/MAX Preferred-Sewell
"$145,000",3,1,"1,225",,33 Lehigh Ave,Westville,NJ,08093,Keller Williams Realty - Cherry Hill
"$295,000",4,2+,"2,642",3,1133 Parliament Way,West Deptford,NJ,08086,CENTURY 21 Alliance
"$148,800",3,2+,"1,346",,45 Barry Dr,Mantua,NJ,08051,Abc Realty
"$199,900",3,1,"1,374",yes,3 Nassau Ave,Woodbury,NJ,08096,Keller Williams Real Estate-Princeton
"$129,900",3,2+,"1,692",,266 Nassau Ave,Paulsboro,NJ,08066,Cardinal Real Estate Services
"$85,900",4,1+,"1,820",3,525 Billings Ave,Gloucester County,NJ,08066,Keller Williams Realty - Washington Township
"$239,900",3,2,"1,878",,58 Pleasant Valley Dr,Woodbury,NJ,08096,Haddonfield
"$239,000",3,4,"3,289",3,523 Hunter St,Woodbury,NJ,08096,RE/MAX Connection - Turnersville
"$160,000",4,2,"1,410",,132 Progress Ave,Woodbury,NJ,08096,Keller Williams Realty-Voorhees
"$169,900",4,2,"1,835",,1121 Simpson Ave,National Park,NJ,08063,RE/MAX Connection - Turnersville
"$179,900",4,1+,"1,592",,417 Colonial Ave,West Deptford,NJ,08096,Mt. Laurel Home Marketing Center
"$240,000",3,1+,"1,585",,20 Hickory Rd,West Deptford,NJ,08096,Keller Williams Realty - Swedesboro
"$121,000",3,1+,"1,656",yes,1052 Kings Hwy,Thorofare,NJ,08086,RE/MAX Preferred-Sewell
"$69,900",2,1+,"1,447",,15 Walnut St,Westville,NJ,08093,Keller Williams of Washington Twp
"$233,000",4,2+,"1,588",,803 Highland Ave,Deptford Township,NJ,08096,"Hearst Realty, Inc."
"$191,000",3,2+,"2,342",2,5 Highgrove Ct,West Deptford,NJ,08086,Houwzer (Haddonfield)
"$309,900",4,2+,"2,340",yes,469 Westwood Dr,West Deptford,NJ,08096,Mullica Hill
"$58,500",3,1+,"1,280",,1517 Elgin St,Deptford Township,NJ,08096,Carrington Real Estate Services Llc
"$140,000",3,1,"1,100",,427 Elm Ave,Woodbury,NJ,08096,RE/MAX Connection Realtors - Haddonfield
"$74,900",3,1,"1,584",,212 S Maple Ave,Woodbury,NJ,08096,RE/MAX Connection Realtors - Haddonfield
"$117,600",3,2,"1,625",1,84 Walnut St,Woodbury,NJ,08096,Exit Realty JP Rothermel
"$99,900",3,1+,"1,430",,466 E Barber Ave,Woodbury,NJ,08096,Keller Williams Realty - Cherry Hill
"$94,900",2,1,872,,1297 Tristram Cir,Mantua,NJ,08051,Harvest Realty
"$219,500",3,2+,"1,528",2,420 Pennsylvania Ave,National Park,NJ,08063,"Weichert, Realtors - Mullica Hill"
"$119,500",2,1+,"1,008",,43 Birchwood Ct,West Deptford,NJ,08066,Keller Williams Realty - Swedesboro
"$267,900",4,2,"2,188",,330 Dubois Ave,West Deptford,NJ,08096,Mullica Hill
"$199,400",4,2,"2,365",,1018 Grove Ave,West Deptford,NJ,08086,RE/MAX Connection Realtors - Haddonfield
"$165,000",3,1+,"1,288",,659 Frankfort Ave,Mantua,NJ,08051,RE/MAX 1ST CHOICE
"$59,900",3,2,"2,402",,237 Delsea Dr,Westville,NJ,08093,Randel Jones
"$62,500",2,1,"1,006",,511 N New Jersey Ave,National Park,NJ,08063,Randel Jones
"$149,000",3,2,"1,295",3,1211 Clements Bridge Rd,Deptford,NJ,08096,Mullica Hill
"$109,000",2,2,"1,051",,92 Crestmont Dr,Mantua,NJ,08051,Harvest Realty
"$419,390",4,2+,"2,660",3,1 Legends Ln,Mantua,NJ,08051,CENTURY 21 Premier Realty
"$409,390",4,2+,,3,405 Jessup Mill Rd,Mantua,NJ,08051,CENTURY 21 Premier Realty
"$280,000",4,2+,"2,684",3,104 Ladds Ln,Deptford,NJ,08093,Keller Williams Realty - Swedesboro
"$42,900",3,2,"1,228",2,337 Woodbine Ave,Westville,NJ,08093,"Hearst Realty, Inc."
"$197,000",3,3,"1,510",2,155 Lakebridge Dr,Deptford Township,NJ,08096,Keller Williams Realty - Swedesboro
"$179,900",3,2+,"2,342",1,1076 Buckingham Dr,West Deptford,NJ,08086,"Art Duffield Realty, LLC"
"$299,900",4,2+,"2,584",,1635 Pennfield Dr,West Deptford,NJ,08086,Re/Max Preferred
"$162,500",4,1+,"1,722",,535 Carter Ave,Deptford,NJ,08096,Vanguard Realty Group Inc
"$89,900",2,1,"1,297",,1178 Red Bank Ave,Thorofare,NJ,08086,RE/MAX Connection Realtors - Mantua
"$32,000",2,1,"1,407",,168 Franklin St,Woodbury,NJ,08096,Century 21 Advantage Gold
"$38,000",3,2,"1,353",,104 Delsea Dr,Westville,NJ,08093,Brown & Pope Realtors
"$134,900",4,2,"1,382",,10 Cedar Ave,Westville,NJ,08093,RE/MAX Connection Realtors - Haddonfield
"$174,900",3,1,"1,604",3,174 Peterson Blvd,Deptford Township,NJ,08096,Keller Williams Realty - Cherry Hill
"$89,900",3,3,"1,868",,512 Woodbury Ter,West Deptford,NJ,08086,RE/MAX Preferred-Sewell
"$19,900",3,2,"1,592",,1014 Spruce St,Paulsboro,NJ,08066,"Usrealty.Com, Llp"
"$119,900",3,1,"1,200",2,301 Lincoln Ave,Paulsboro,NJ,08066,Harvest Realty
"$79,900",2,1,700,,224 Nassau Ave,Paulsboro,NJ,08066,Re/Max Preferred
"$135,000",6,3,"2,480",,51 Roosevelt St,Paulsboro,NJ,08066,RE/MAX Connection Realtors - Mantua
"$159,999",3,2,"1,116",,417 Elm Ave,Woodbury,NJ,08096,CENTURY 21 Rivera Realty
"$249,900",4,3+,"2,960",,425 W Centre St,Woodbury,NJ,08096,Deptford
"$210,000",3,2+,"2,342",yes,1064 Buckingham Dr,West Deptford,NJ,08086,Lamb Realty
"$149,900",3,1+,"1,736",,23 Wood St,Woodbury,NJ,08096,Deptford
"$119,900",3,2+,"1,680",,1204 Chestnut St,Paulsboro,NJ,08066,Keller Williams Realty - Cherry Hill
"$245,000",3,2+,"1,990",2,148 Pennsbury Ln,Deptford Township,NJ,08096,Keller Williams Realty - Swedesboro
"$94,999",2,1,837,,456 Park Ave,Deptford Township,NJ,08093,Re/Max Preferred - Cherry Hill
"$139,000",2,2,"1,464",,114 Deptford Ave,Woodbury,NJ,08096,Keller Williams Realty - Cherry Hill
"$140,000",4,1+,"1,924",,122 S Girard St,Woodbury,NJ,08096,Mullica Hill North
"$34,900",,,,,Glassboro Rd Lots 4 & 6,Deptford Township,NJ,08096,Washington-Gloucester Home Marketing Center
"$78,500",3,1,"1,040",,16 E Madison St,Paulsboro,NJ,08066,CENTURY 21 Rauh & Johns
"$229,900",3,1+,"1,776",2,211 Wrexham Ct,Deptford Township,NJ,08096,Mullica Hill
"$180,000",3,2,"1,590",,50 Turner St,Mantua,NJ,08051,Keller Williams Realty - Washington Town
"$39,900",3,1,"1,590",,163 Mc Corkell Ave,Paulsboro,NJ,08066,Keller Williams Realty - Washington Township
"$145,000",3,1,"1,469",,634 3rd Ave,Woodbury,NJ,08096,Realty Solutions LLC
"$269,990",3,1+,"1,402",2,06 Hawkins Ln,Wenonah,NJ,08096,Ryan Homes - Nj
"$111,500",3,1,925,,208 Florence Ave,Westville,NJ,08093,Mt. Laurel Home Marketing Center
"$229,900",3,2+,"1,908",,181 Pennsbury Ln,Deptford Township,NJ,08096,Vineland
"$164,900",3,2,,,48 Clinton Ave,Mantua,NJ,08051,CENTURY 21 Premier Realty
"$209,900",4,2,"1,591",,640 Pierre Ave,Mantua,NJ,08051,Mullica Hill
"$167,000",2,2+,"1,408",,132 Brent Ct,Thorofare,NJ,08086,Mullica Hill
"$249,000",4,2+,"2,498",3,4 Maplewood Ln,Mantua,NJ,08051,Long and Foster - Cherry Hill
"$23,900",1,1,490,,27 Capitol St,Paulsboro,NJ,08066,Keller Williams Realty - Washington Township
"$119,900",4,2,"1,504",yes,28 E Adams St,Paulsboro,NJ,08066,RE/MAX 2000
"$137,900",3,1+,"1,433",,125 N Drexel St,Woodbury,NJ,08096,CENTURY 21 Rauh & Johns
"$289,990",3,2+,"1,853",2,707 Beechwood Dr,Deptford,NJ,08096,Keller Williams Realty - Washington Town
"$163,500",3,2+,"1,482",,1040 Milton Ave,West Deptford,NJ,08093,Century 21 Advantage Gold
"$102,500",1,1,872,,1147 Tristram Cir,Mantua,NJ,08051,Mullica Hill North
"$342,490",4,2+,"2,399",2,622 Schaeffer Ave,Deptford,NJ,08096,Keller Williams Realty - Washington Town
"$114,900",2,2,812,,234 Barclay Ct,West Deptford,NJ,08051,Re/Max Preferred
"$329,990",4,2+,"1,908",2,619 Schaeffer Ave,Deptford,NJ,08096,Keller Williams Realty - Washington Town
"$143,100",3,2,"1,552",,1125 Hessian Ave,Westville,NJ,08093,RealHome Services & Solutions
"$129,900",2,1,936,,116 Underwood Ave,West Deptford,NJ,08096,New Jersey Home Sales Inc
