price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$800,000",5,4+,"3,372",yes,23 Brookshire Dr,Robbinsville,NJ,08691,Keller Williams Real Estate-Princeton
"$279,900",3,1+,"1,360",yes,50 Valley View Rd,Hamilton Square,NJ,08620,Gloria Nilson & Co. Real Estate
"$160,000",4,1,"1,956",,242 Jackson St,Trenton,NJ,08611,Keller Williams Real Estate-Princeton
"$285,000",3,2+,,yes,16 Pizzullo Rd,Hamilton Township,NJ,08690,Callaway Henderson Sothebys International Realty
"$380,000",3,2,"1,956",3,15 Scudder Rd,Ewing Township,NJ,08628,Weidel Real Estate
"$68,999",4,1,"1,244",,248 S Logan Ave,Trenton,NJ,08629,Garcia Realtors
"$59,900",3,1,"1,237",,444 Grand St,Trenton,NJ,08611,REMAX PROPERTIES LTD.
"$214,900",3,1,995,,36 Brighten Dr,Hamilton Township,NJ,08619,"REOcomplete Real Estate, Inc"
"$600,000",,,,,323 Gordon Rd,Robbinsville,NJ,08691,Diamond Homes Realty
"$335,000",4,2,"1,592",3,79 Hirsch Ave,Hamilton Township,NJ,08690,Keller Williams Real Estate-Princeton
"$65,000",,,,,Mercerville Edinburg Rd,Hamilton Township,NJ,08619,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$125,000",4,1,"1,440",,79 Grand St,Trenton,NJ,08611,RE/MAX Tri County
"$175,900",4,2,"1,992",3,140 Sanhican Dr,Trenton,NJ,08618,Smires
"$139,500",2,1,840,,11 Allison Ave,Ewing Township,NJ,08638,Smires
"$599,287",3,3+,"2,787",2,44 Thomas Dr,Robbinsville,NJ,08691,Diamond Homes Realty
"$224,900",3,1+,"1,764",3,120 White Horse Ave,Hamilton Township,NJ,08610,remax 1st advantage
"$289,900",3,1+,"1,672",yes,15 Tanglewood Dr,Hamilton Township,NJ,08619,Smires
"$249,900",3,1+,"1,558",,18 Bonnie Rae Dr,Hamilton Township,NJ,08620,Smires
"$111,000",4,1,"1,568",yes,272 Clamer Rd,Ewing Township,NJ,08628,Pod Real Estate
"$560,000",4,2+,"2,913",,107 Rose Ct,Robbinsville,NJ,08691,ERA Central Realty Group
"$92,900",2,1,"1,040",,11 Bruce Ln,Ewing Township,NJ,08638,Pod Real Estate
"$304,900",4,2+,"2,158",,11 Blackwood Dr,Ewing Township,NJ,08628,Nexthome Essential Realty
"$194,900",3,1,"1,028",2,48 Churchill Ave,Hamilton Township,NJ,08610,Garcia Realtors
"$319,900",3,2+,"1,550",,105 Cromwell Dr,Robbinsville,NJ,08691,Coldwell Banker Residential Brokerage - Hillsborough/Montgomery Office
"$69,745",3,1+,"1,417",,22 Conrad St,Trenton,NJ,08611,RE/MAX Tri County
"$179,900",2,2,"1,100",,60 Versailles Ct,Hamilton Township,NJ,08619,Frank Vincent Realtors
"$669,000",,,"4,713",,269 S Johnston Ave,Hamilton Township,NJ,08609,Capital 5 Realty
"$335,000",3,2,"1,782",1,3 Baltusrol St,Hamilton Square,NJ,08690,Smires
"$150,000",3,1+,"2,337",,1902 Liberty St,Trenton,NJ,08629,Garcia Realtors
"$229,000",3,2,"1,960",,32 Magowan Ave,Hamilton Township,NJ,08619,RE/MAX IN TOWN
"$98,000",3,1,"1,074",,576 Emmett Ave,Trenton,NJ,08629,Hamilton-Robbinsville Home Marketing Center
"$264,900",4,2,"1,984",3,154 W Upper Ferry Rd,Ewing Township,NJ,08628,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$170,000",3,2,"1,056",,340 Hobart Ave,Hamilton Township,NJ,08629,REMAX PROPERTIES LTD.
"$220,000",1,1,"1,088",,2350 Route 33 Ste 202,Robbinsville,NJ,08691,Smires
"$174,000",3,1+,"1,624",3,1 Ives Ave,Ewing Township,NJ,08638,Keller Williams Real Estate-Princeton
"$329,900",3,1+,"1,672",,37 Federal City Rd,Ewing Township,NJ,08638,Smires
"$399,900",5,2+,"2,336",,150 Bucknell Ave,Hamilton Township,NJ,08619,KELLER WILLIAMS REALTY - West Monmouth
"$341,948",2,3,"1,610",0,617,Robbinsville,NJ,08691,Sharbell Development Corp.
"$64,000",3,1,"1,128",,1604 Chestnut Ave,Trenton,NJ,08611,Realty Mark Associates
"$239,900",3,1,"1,331",yes,127 Fernwood Ave,Bordentown,NJ,08610,Tri-County
"$109,900",3,2+,"2,530",3,940 Riverside Ave,Trenton,NJ,08618,Weichert Realtors
"$96,000",3,1,932,,112 Overlook Ave,Hamilton Township,NJ,08610,Coldwell Banker Residential Brokerage - Princeton Office
"$499,500",3,2+,"1,912",2,43 Eldridge Dr,Robbinsville,NJ,08691,Realmart Realty - Flat Fee to 1% Agent Assist Service
"$144,900",2,1,"1,120",,9 Gwendolyn Dr,Ewing Township,NJ,08638,Addison Wolfe Real Estate
"$249,900",4,2,"1,228",,107 Saybrook Ave,Hamilton Township,NJ,08619,Keller Williams Cornerstone
"$138,500",4,2,"1,022",,299 Watson Ave,Hamilton Township,NJ,08610,RE/MAX Tri County
"$209,900",2,1+,792,yes,139 Carmen Ave,Trenton,NJ,08610,"Weichert, Realtors - Princeton"
"$19,900",5,1,"1,908",,822 E State St,Trenton,NJ,08609,HNPS Realty
"$99,900",,,,,30 New Hillcrest Ave,Ewing Township,NJ,08638,Remax Tri-County
"$23,900",0,1,864,,120 Harding St,Trenton,NJ,08611,Di Gennaro Real Estate
"$23,900",0,1,864,,118 Harding St,Trenton,NJ,08611,Di Gennaro Real Estate
"$99,900",3,1,"1,364",,307 Hillcrest Ave,Ewing Township,NJ,08618,Keller Williams Real Estate-Princeton
"$187,500",3,2,"1,249",1,115 Thropp Ave,Hamilton Township,NJ,08610,RE/MAX Tri County
"$159,900",4,1,"1,332",,604 Assunpink Blvd,Hamilton Township,NJ,08619,Weidel Real Estate
"$109,000",2,1,957,,611 Johnston Ave,Hamilton Township,NJ,08629,ARC Real Estate
"$19,900",,,,,27 Alden Ave,Trenton,NJ,08618,"Weichert, Realtors - East Windsor"
"$85,000",4,1,"1,368",yes,43 Reading Ave,Trenton,NJ,08618,Harkes Realty And Associates
"$29,900",3,1,"1,372",,33 Alden Ave,Trenton,NJ,08618,"Weichert, Realtors - East Windsor"
"$359,900",2,2+,"1,915",,3 Pizzullo Rd,Hamilton Township,NJ,08690,Demartin Realty Co
"$68,900",4,1,"1,638",,316 Division St,Trenton,NJ,08611,Medford
"$229,900",3,2,"1,636",,1450 Cedar Ln,Hamilton Township,NJ,08610,"Weichert, Realtors - Burlington"
"$178,500",4,1+,"1,246",,13 Wolf Dr,Hamilton Township,NJ,08610,"Keypoint Realty, Llc"
"$180,000",3,2,"1,488",,1152 Lower Ferry Rd,Ewing,NJ,08618,Weidel Real Estate
"$44,400",4,1,"1,455",,106 Lee Ave,Trenton,NJ,08618,GERARD GALSTER
"$239,900",2,2,"1,313",1,163 Meadowlark Dr,Hamilton Township,NJ,08690,Weidel Real Estate
"$50,000",3,1,"1,316",,1425 N Olden Ave,Ewing Township,NJ,08638,"Pinnacle, Realtors Princeton"
"$42,000",3,1,"1,382",,1233 S Broad St,Trenton,NJ,08610,Keller Williams Realty - Moorestown
"$90,000",3,1,"1,612",,205 Clearfield Ave,Trenton,NJ,08618,Keller Williams Real Estate-Princeton
"$299,900",4,2+,"2,086",,28 Compton Way,Hamilton Township,NJ,08690,Keller Williams Realty - Medford
"$299,900",4,2,"1,440",,13 Benson Ln,Hamilton Township,NJ,08610,Capital 5 Realty
"$129,900",3,1,"1,212",,22 Downing Rd,Ewing Township,NJ,08628,Weidel Real Estate
"$190,000",4,2,"1,254",,201 Lakeside Blvd,Hamilton Township,NJ,08610,Platinum Realty Team
"$194,900",3,2,"1,268",,245 E Franklin St,Hamilton Township,NJ,08610,Louis B Didonato
"$13,750",4,1,"1,504",,306 W Hanover St,Trenton,NJ,08618,Maximum Realty Services
"$68,000",3,1,"1,092",,246 Euclid Ave,Trenton,NJ,08609,Hamilton-Robbinsville Home Marketing Center
"$1,099,900",5,4+,"4,700",3,The Yorkshire,Robbinsville,NJ,08691,Amleed Custom Homes
"$69,900",5,1+,"1,496",,924 Lamberton St,Trenton,NJ,08611,Action Usa Jay Robert Realtors
"$119,000",3,1+,"1,312",,1313 S Chambers St,Trenton,NJ,08610,RE/MAX Platinum
"$165,000",2,1,720,,198 Saybrook Ave,Hamilton Township,NJ,08619,Keller Williams Realty - Moorestown
"$135,000",2,2,"1,100",,73 Aspen Ct,Hamilton Township,NJ,08619,Keller Williams Real Estate-Princeton
"$330,000",8,8,"2,490",,666 S Broad St,Trenton,NJ,08611,Realty Mark Advantage
"$149,900",2,2,"1,100",,41 Willow Ct,Hamilton Township,NJ,08619,RE/MAX Tri County
"$49,000",,,"1,780",,613 Martin Luther King Blvd,Trenton,NJ,08618,Gloria Nilson & Co. Real Estate
"$200,000",3,1,"1,184",,134 Magowan Ave,Hamilton Township,NJ,08619,Keller Williams Realty West Monmouth
"$27,500",3,1,900,,96 Klagg Ave,Trenton,NJ,08638,Garcia Realtors
"$339,500",3,2+,"1,715",2,10 Tigers Ct,Hamilton Township,NJ,08619,RE/MAX of PRINCETON
"$305,000",3,2+,"1,628",yes,21 Gallo Ct,Lawrenceville,NJ,08648,"Weichert, Realtors - Princeton"
"$225,000",3,2+,"1,950",,249 Clay St,Trenton,NJ,08611,Keller Williams Realty - Medford
"$139,900",2,1,"2,430",,923 Edgewood Ave,Trenton,NJ,08618,Harkes Realty And Associates
"$109,900",4,2,"1,459",,1324 Deutz Ave,Hamilton Township,NJ,08611,"Keypoint Realty, Llc"
"$199,745",3,1+,"1,184",2,9 Lorraine Dr,Hamilton Township,NJ,08619,RE/MAX Tri County
"$75,000",3,2,"1,828",,419 Chestnut Ave,Trenton,NJ,08611,Smires
"$749,900",5,3,"3,252",2,The Cambridge,Robbinsville,NJ,08691,Amleed Custom Homes
"$185,000",2,2,"1,635",0,Canterbury,Ewing,NJ,08618,American Properties Realty
"$29,900",,,"1,302",,26 Winder Ave,Trenton,NJ,08609,"REOcomplete Real Estate, Inc"
